TABLE "anxiety_user"
ATTRIBUTES 23
 f_0_a symbolic
 f_1_a symbolic
 f_2_a symbolic
 f_3_a symbolic
 f_4_a symbolic
 f_5_a symbolic
 f_6_a symbolic
 f_7_a symbolic
 f_8_a symbolic
 f_9_a symbolic
 child_number symbolic
 education symbolic
 gender symbolic
 partner_education symbolic
 partner_age symbolic
 no_of_daughters symbolic
 no_of_sons symbolic
 age_oldest_child symbolic
 average_child_age symbolic
 age symbolic
 years_of_mariage symbolic
 years_of_relationship symbolic
 group symbolic
OBJECTS 1970
"2-3" "1-2" "3-2" "1-2" "0-2" "1-1" "0-0" "0-1" "0-1" "0-1" "4-4" "1-1" "0-0" "1-1" "45-59" "2-3" "2-1" "11-19" "16-25" "45-60" "21-34" "27-37" "1-0"
"2-3" "1-2" "3-2" "1-1" "0-1" "1-2" "0-0" "0-2" "0-3" "0-1" "4-6" "1-1" "0-1" "1-1" "45-52" "2-3" "2-3" "11-12" "16-21" "45-54" "21-29" "27-30" "1-0"
"2-1" "1-2" "3-2" "1-1" "0-1" "1-1" "0-1" "0-1" "0-1" "0-1" "4-2" "1-1" "0-0" "1-1" "45-40" "2-1" "2-1" "11-7" "16-12" "45-43" "21-9" "27-15" "1-0"
"2-2" "1-2" "3-2" "1-2" "0-3" "1-2" "0-1" "0-1" "0-1" "0-1" "4-3" "1-1" "0-0" "1-0" "45-54" "2-2" "2-1" "11-9" "16-20" "45-54" "21-31" "27-33" "1-0"
"2-3" "1-3" "3-2" "1-0" "0-2" "1-2" "0-2" "0-2" "0-2" "0-2" "4-2" "1-1" "0-1" "1-1" "45-45" "2-1" "2-1" "11-13" "16-14" "45-44" "21-20" "27-22" "1-0"
"2-2" "1-1" "3-2" "1-2" "0-1" "1-1" "0-1" "0-1" "0-2" "0-2" "4-2" "1-1" "0-0" "1-1" "45-41" "2-1" "2-1" "11-8" "16-10" "45-38" "21-12" "27-14" "1-0"
"2-3" "1-2" "3-1" "1-1" "0-1" "1-1" "0-0" "0-3" "0-2" "0-1" "4-4" "1-1" "0-0" "1-1" "45-37" "2-3" "2-1" "11-5" "16-7" "45-35" "21-11" "27-14" "1-0"
"2-2" "1-2" "3-2" "1-2" "0-0" "1-1" "0-1" "0-2" "0-1" "0-1" "4-1" "1-1" "0-0" "1-1" "45-36" "2-0" "2-1" "11-12" "16-12" "45-36" "21-13" "27-18" "1-0"
"2-3" "1-2" "3-3" "1-1" "0-3" "1-2" "0-1" "0-2" "0-2" "0-2" "4-3" "1-1" "0-0" "1-1" "45-34" "2-2" "2-1" "11-5" "16-7" "45-34" "21-9" "27-10" "1-0"
"2-2" "1-2" "3-2" "1-2" "0-0" "1-1" "0-2" "0-1" "0-1" "0-2" "4-4" "1-1" "0-0" "1-1" "45-59" "2-3" "2-1" "11-19" "16-25" "45-60" "21-34" "27-37" "1-0"
"2-2" "1-2" "3-2" "1-2" "0-2" "1-2" "0-0" "0-1" "0-1" "0-1" "4-2" "1-1" "0-1" "1-1" "45-48" "2-1" "2-1" "11-16" "16-19" "45-51" "21-24" "27-24" "1-0"
"2-3" "1-2" "3-1" "1-1" "0-1" "1-1" "0-0" "0-3" "0-3" "0-2" "4-3" "1-1" "0-0" "1-1" "45-59" "2-0" "2-3" "11-20" "16-28" "45-58" "21-34" "27-36" "1-0"
"2-3" "1-3" "3-1" "1-1" "0-2" "1-2" "0-2" "0-1" "0-1" "0-1" "4-0" "1-1" "0-1" "1-1" "45-41" "2-0" "2-0" "11-0" "16-0" "45-45" "21-13" "27-16" "1-0"
"2-2" "1-1" "3-2" "1-2" "0-2" "1-1" "0-0" "0-1" "0-1" "0-1" "4-3" "1-0" "0-0" "1-1" "45-59" "2-2" "2-1" "11-20" "16-24" "45-58" "21-28" "27-28" "1-0"
"2-3" "1-0" "3-3" "1-3" "0-1" "1-1" "0-1" "0-2" "0-1" "0-1" "4-2" "1-1" "0-0" "1-1" "45-36" "2-1" "2-1" "11-3" "16-4" "45-30" "21-7" "27-10" "1-0"
"2-2" "1-2" "3-3" "1-1" "0-1" "1-2" "0-1" "0-2" "0-1" "0-2" "4-2" "1-1" "0-1" "1-1" "45-34" "2-1" "2-1" "11-4" "16-6" "45-27" "21-9" "27-13" "1-0"
"2-3" "1-1" "3-2" "1-0" "0-1" "1-1" "0-1" "0-2" "0-1" "0-1" "4-3" "1-1" "0-0" "1-1" "45-57" "2-0" "2-3" "11-10" "16-12" "45-44" "21-16" "27-18" "1-0"
"2-2" "1-1" "3-2" "1-1" "0-1" "1-1" "0-1" "0-2" "0-2" "0-2" "4-2" "1-1" "0-0" "1-1" "45-49" "2-1" "2-1" "11-13" "16-20" "45-50" "21-27" "27-28" "1-0"
"2-2" "1-2" "3-0" "1-2" "0-2" "1-2" "0-0" "0-3" "0-0" "0-2" "4-3" "1-1" "0-0" "1-1" "45-49" "2-1" "2-2" "11-8" "16-13" "45-45" "21-20" "27-24" "1-0"
"2-3" "1-1" "3-3" "1-0" "0-1" "1-3" "0-0" "0-2" "0-0" "0-0" "4-2" "1-1" "0-0" "1-1" "45-34" "2-0" "2-2" "11-5" "16-6" "45-33" "21-10" "27-16" "1-0"
"2-3" "1-1" "3-2" "1-2" "0-1" "1-1" "0-1" "0-2" "0-1" "0-2" "4-2" "1-1" "0-0" "1-1" "45-40" "2-1" "2-1" "11-7" "16-8" "45-33" "21-11" "27-14" "1-0"
"2-2" "1-2" "3-2" "1-1" "0-1" "1-2" "0-1" "0-2" "0-2" "0-2" "4-3" "1-0" "0-0" "1-1" "45-53" "2-1" "2-2" "11-17" "16-25" "45-53" "21-31" "27-37" "1-0"
"3-2" "0-1" "3-3" "1-1" "0-0" "0-1" "0-0" "3-0" "1-0" "1-0" "2-4" "1-1" "0-0" "1-1" "61-45" "1-2" "1-2" "23-11" "24-16" "53-45" "29-21" "29-27" "0-1"
"3-1" "0-0" "3-1" "1-2" "0-1" "0-1" "0-0" "3-1" "1-0" "1-1" "2-2" "1-1" "0-0" "1-1" "61-51" "1-1" "1-1" "23-15" "24-17" "53-49" "29-24" "29-32" "0-1"
"3-0" "0-1" "3-1" "1-2" "0-0" "0-0" "0-0" "3-1" "1-1" "1-0" "2-3" "1-0" "0-0" "1-0" "61-53" "1-2" "1-1" "23-14" "24-20" "53-53" "29-27" "29-29" "0-2"
"3-1" "0-1" "3-1" "1-1" "0-1" "0-1" "0-0" "3-0" "1-0" "1-0" "2-3" "1-1" "0-1" "1-0" "61-53" "1-1" "1-2" "23-17" "24-25" "53-53" "29-31" "29-37" "0-1"
"3-1" "0-1" "3-1" "1-2" "0-1" "0-1" "0-0" "3-1" "1-1" "1-2" "2-3" "1-1" "0-1" "1-1" "61-45" "1-1" "1-2" "23-8" "24-13" "53-49" "29-20" "29-24" "0-1"
"3-1" "0-0" "3-1" "1-1" "0-0" "0-1" "0-0" "3-1" "1-1" "1-1" "2-4" "1-1" "0-1" "1-1" "61-46" "1-1" "1-3" "23-7" "24-12" "53-44" "29-21" "29-23" "0-1"
"3-0" "0-0" "3-0" "1-3" "0-0" "0-0" "0-0" "3-1" "1-1" "1-0" "2-2" "1-1" "0-1" "1-1" "61-42" "1-0" "1-2" "23-12" "24-13" "53-40" "29-15" "29-17" "0-1"
"3-2" "0-1" "3-0" "1-2" "0-0" "0-0" "0-0" "3-0" "1-2" "1-0" "2-5" "1-1" "0-1" "1-1" "61-43" "1-1" "1-4" "23-11" "24-14" "53-46" "29-20" "29-22" "0-1"
"3-1" "0-1" "3-2" "1-3" "0-0" "0-0" "0-0" "3-0" "1-0" "1-0" "2-2" "1-1" "0-0" "1-1" "61-41" "1-1" "1-1" "23-12" "24-14" "53-41" "29-16" "29-22" "0-1"
"3-1" "0-1" "3-1" "1-3" "0-0" "0-1" "0-0" "3-1" "1-1" "1-1" "2-5" "1-1" "0-0" "1-1" "61-46" "1-1" "1-4" "23-11" "24-14" "53-43" "29-20" "29-22" "0-1"
"3-1" "0-0" "3-1" "1-1" "0-0" "0-1" "0-0" "3-1" "1-1" "1-1" "2-3" "1-0" "0-1" "1-1" "61-44" "1-0" "1-3" "23-11" "24-14" "53-53" "29-19" "29-21" "0-1"
"3-1" "0-0" "3-1" "1-3" "0-0" "0-0" "0-0" "3-0" "1-0" "1-0" "2-1" "1-1" "0-1" "1-1" "61-47" "1-1" "1-0" "23-10" "24-10" "53-49" "29-22" "29-25" "0-1"
"3-2" "0-0" "3-0" "1-2" "0-0" "0-1" "0-0" "3-0" "1-0" "1-0" "2-2" "1-1" "0-1" "1-1" "61-40" "1-2" "1-0" "23-12" "24-13" "53-40" "29-18" "29-22" "0-1"
"3-1" "0-1" "3-1" "1-2" "0-1" "0-1" "0-0" "3-0" "1-1" "1-1" "2-3" "1-1" "0-1" "1-1" "61-44" "1-1" "1-2" "23-6" "24-12" "53-48" "29-19" "29-24" "0-1"
"3-1" "0-1" "3-1" "1-2" "0-0" "0-1" "0-1" "3-2" "1-1" "1-1" "2-4" "1-1" "0-0" "1-1" "61-40" "1-4" "1-0" "23-6" "24-8" "53-34" "29-10" "29-12" "0-1"
"3-3" "0-0" "3-2" "1-3" "0-0" "0-2" "0-0" "3-0" "1-0" "1-0" "2-2" "1-1" "0-0" "1-1" "61-44" "1-1" "1-1" "23-13" "24-14" "53-45" "29-20" "29-22" "0-1"
"3-1" "0-0" "3-1" "1-2" "0-1" "0-0" "0-0" "3-0" "1-0" "1-1" "2-1" "1-1" "0-1" "1-1" "61-36" "1-1" "1-0" "23-7" "24-7" "53-37" "29-8" "29-10" "0-1"
"3-1" "0-1" "3-1" "1-1" "0-1" "0-1" "0-0" "3-1" "1-0" "1-0" "2-2" "1-1" "0-1" "1-1" "61-35" "1-2" "1-0" "23-4" "24-6" "53-34" "29-9" "29-11" "0-1"
"3-1" "0-0" "3-1" "1-3" "0-1" "0-1" "0-0" "3-1" "1-0" "1-0" "2-3" "1-1" "0-0" "1-1" "61-45" "1-1" "1-2" "23-9" "24-12" "53-43" "29-18" "29-20" "0-1"
"3-1" "0-0" "3-0" "1-2" "0-0" "0-0" "0-0" "3-1" "1-1" "1-0" "2-3" "1-1" "0-1" "1-1" "61-39" "1-2" "1-1" "23-4" "24-7" "53-38" "29-10" "29-12" "0-1"
"3-2" "0-1" "3-2" "1-3" "0-0" "0-0" "0-0" "3-1" "1-1" "1-2" "2-2" "1-1" "0-0" "1-1" "61-41" "1-2" "1-0" "23-10" "24-12" "53-41" "29-15" "29-16" "0-1"
"3-1" "0-1" "3-2" "1-2" "0-0" "0-0" "0-0" "3-0" "1-0" "1-0" "2-3" "1-1" "0-1" "1-1" "61-40" "1-1" "1-2" "23-10" "24-13" "53-46" "29-19" "29-22" "0-1"
"3-1" "0-0" "3-1" "1-2" "0-0" "0-0" "0-0" "3-2" "1-0" "1-1" "2-2" "1-1" "0-0" "1-1" "61-48" "1-1" "1-1" "23-10" "24-15" "53-49" "29-4" "29-26" "0-1"
"3-2" "0-2" "3-2" "1-2" "0-1" "0-1" "0-0" "3-1" "1-2" "1-1" "2-1" "1-1" "0-0" "1-1" "61-49" "1-1" "1-0" "23-10" "24-10" "53-47" "29-22" "29-25" "0-1"
"3-1" "0-0" "3-1" "1-2" "0-0" "0-1" "0-0" "3-1" "1-1" "1-1" "2-0" "1-1" "0-1" "1-0" "61-51" "1-0" "1-0" "23-0" "24-0" "53-53" "29-5" "29-6" "0-1"
